Atomic Number,Element,Multiplicity,Term Symbol,DfH0(0),ΔfH°gas,StdErr,(from web elements) gas atom Hº298-Hº0,standard state Hº298-Hº0,"Sºgas,1 bar",StdErr2,Reference,,PBE@700 atom energy,PBE-D3BJ@700 atom energy,r2SCAN@700 atom energy,r2SCAN-D3BJ@700 atom energy,PBE@700,PBE-D3BJ@700,r2SCAN@700,r2SCAN-D3BJ@700
1,H,2,2S1/2,216.034,218,0.006,6.197,8.468,114.72,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/H,JANAF,-107.823,-107.824,-108.323,-108.324,-326.826,-326.947,-333.477,-333.506
2,He,1,1S0,,,,6.197,6.197,126.15,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/He,JANAF,-0.054,-0.057,-31.503,-31.503,-0.054,-0.057,-31.503,-31.503
3,Li,2,2S1/2,,159.3,1,6.197,4.632,138.78,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Li,JANAF,-29.787,-29.976,-75.772,-75.961,-183.808,-201.294,-229.800,-237.927
4,Be,1,1S0,,324,5,6.197,1.95,136.27,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Be,JANAF,-3.789,-3.831,-52.243,-52.283,-363.544,-398.884,-418.892,-435.265
5,B,2,2P1/2,,560,5,6.316,1.222,153.44,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/B,JANAF,-28.044,-28.072,-112.969,-112.986,-647.104,-667.118,-708.826,-718.234
6,C,3,3P0,,716.67,0.45,6.536,1.05,158.1,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/C,JANAF,-121.806,-121.814,-228.829,-228.837,-880.233,-898.746,-951.394,-960.156
7,N,4,4S3/2,,472.68,0.4,6.197,8.67,153.28,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/N,JANAF,-301.540,-301.545,-427.357,-427.361,-803.940,-804.515,-879.137,-879.279
8,O,3,3P2,,249.18,0.01,6.725,8.68,161.059,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/O,CODATA,-149.227,-149.229,-310.636,-310.638,-477.410,-477.765,-572.844,-572.932
9,F,2,2P3/2,,79.39,0.3,6.518,8.815,158.78,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/F,JANAF,-42.232,-42.231,-216.946,-216.948,-3.849,-3.883,-87.684,-87.711
10,Ne,1,1S0,,,,6.197,6.197,146.33,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ne,JANAF,-1.164,-1.167,-180.902,-180.903,-1.164,-1.167,-180.902,-180.903
11,Na,2,2S1/2,,107.3,0.7,6.197,6.46,153.65,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Na,JANAF,-23.572,-23.858,-240.493,-240.768,-126.785,-142.341,-343.350,-350.524
12,Mg,1,1S0,,147.1,0.8,6.197,4.998,148.65,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Mg,JANAF,-0.391,-0.507,-235.374,-235.488,-145.474,-173.692,-400.373,-413.791
13,Al,2,2P1/2,,329.7,4,6.919,4.54,164.57,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Al,JANAF,-20.536,-20.639,-302.295,-302.388,-360.998,-394.100,-649.361,-665.516
14,Si,3,3P0,,450,8,7.55,3.217,167.98,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Si,JANAF,-79.579,-79.643,-395.821,-395.875,-523.437,-553.524,-846.666,-860.896
15,P,4,4S3/2,,316.39,1,6.197,5.36,163.2,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/P,JANAF,-182.050,-182.086,-538.696,-538.727,-508.756,-531.779,-853.427,-864.959
16,S,3,3P2,,276.98,0.15,6.657,4.412,167.83,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/S,JANAF,-85.953,-85.989,-493.664,-493.686,,,,
17,Cl,2,2P3/2,,121.3,0.008,6.272,9.181,165.19,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Cl,JANAF,-24.917,-24.941,-463.774,-463.789,-173.601,-174.990,-395.141,-395.064
18,Ar,1,1S0,,,,6.197,6.197,154.84,,https://webbook.nist.gov/cgi/inchi/InChI%3D1S/Ar,JANAF,-2.274,-2.286,-464.529,-464.539,-2.274,-2.286,-464.529,-464.539
